series,location,keywords,numpages,articleno,booktitle,doi,url,address,publisher,isbn,year,title,author,ENTRYTYPE,ID,pages,month,journal,issn,number,volume,issue_date,note
SIGITE '20,"Virtual Event, USA","CI/CD, agile, app development, containers, full stack, interdisciplinary, opensource, research, rest API",7.0,,Proceedings of the 21st Annual Conference on Information Technology Education,10.1145/3368308.3415377,https://doi.org/10.1145/3368308.3415377,"New York, NY, USA",Association for Computing Machinery,9781450370455.0,2020,The Necessity of Interdisciplinary Software Development for Building Viable Research Platforms: Case Study in Automated Drug Delivery in Diabetes,"Hajek, Jeremy and Rashid, Mudassir and Sevil, Mert and Cinar, Ali and Alvarez Fernandez, Pablo Angel and Jain, Dhiraj",inproceedings,10.1145/3368308.3415377,390–396,,,,,,,
ICPE '23 Companion,"Coimbra, Portugal","DAST, DevOps, DevSecOps, IaC, SAST, machine learning, natural language processing, self-supervised learning",5.0,,Companion of the 2023 ACM/SPEC International Conference on Performance Engineering,10.1145/3578245.3584943,https://doi.org/10.1145/3578245.3584943,"New York, NY, USA",Association for Computing Machinery,9798400700729.0,2023,Security in DevSecOps: Applying Tools and Machine Learning to Verification and Monitoring Steps,"Cankar, Matija and Petrovic, Nenad and Pita Costa, Joao and Cernivec, Ales and Antic, Jan and Martincic, Tomaz and Stepec, Dejan",inproceedings,10.1145/3578245.3584943,201–205,,,,,,,
MODELS Companion '24,"Linz, Austria","low code development, modeling, recommenders, security, devops, devsecops",9.0,,Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,10.1145/3652620.3688335,https://doi.org/10.1145/3652620.3688335,"New York, NY, USA",Association for Computing Machinery,9798400706226.0,2024,Towards LowDevSecOps Framework for Low-Code Development: Integrating Process-Oriented Recommendations for Security Risk Management,"Sedrakyan, Gayane and Iacob, Maria-Eugenia and Van Hillegersberg, Jos",inproceedings,10.1145/3652620.3688335,886–894,,,,,,,
ICSSP '22,"Pittsburgh, PA, USA","Agile, DevSecOps, software development, software engineering",5.0,,Proceedings of the International Conference on Software and System Processes and International Conference on Global Software Engineering,10.1145/3529320.3529329,https://doi.org/10.1145/3529320.3529329,"New York, NY, USA",Association for Computing Machinery,9781450396745.0,2022,Revelations from an Agile and DevSecOps Transformation in a Large Organization: An Experiential Case Study,"Scanlon, Thomas and Morales, Jose",inproceedings,10.1145/3529320.3529329,77–81,,,,,,,
WoC '21,"Virtual Event, Canada","CyberSecurity, DevSecOps, Software Bill-of-Material, Supply Chain Security",6.0,,Proceedings of the Seventh International Workshop on Container Technologies and Container Clouds,10.1145/3493649.3493655,https://doi.org/10.1145/3493649.3493655,"New York, NY, USA",Association for Computing Machinery,9781450391719.0,2021,tapiser\'{\i}: Blueprint to modernize DevSecOps for real world,"Nadgowda, Shripad and Luan, Laura",inproceedings,10.1145/3493649.3493655,13–18,,,,,,,
FSE Companion '25,"Clarion Hotel Trondheim, Trondheim, Norway","software development practice, software framework, software security, security outcome, software supply chain attack",9.0,,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,10.1145/3696630.3734200,https://doi.org/10.1145/3696630.3734200,"New York, NY, USA",Association for Computing Machinery,9798400712760.0,2025,Can the Rising Tide of Software Supply Chain Attacks Raise All Software Engineering Boats?,"Williams, Laurie and Hamer, Sivana and Zahan, Nusrat",inproceedings,10.1145/3696630.3734200,18–26,,,,,,,
,,"Software security, Software supply chain security, Open source security",38.0,146.0,,10.1145/3714464,https://doi.org/10.1145/3714464,"New York, NY, USA",Association for Computing Machinery,,2025,Research Directions in Software Supply Chain Security,"Williams, Laurie and Benedetti, Giacomo and Hamer, Sivana and Paramitha, Ranindya and Rahman, Imranur and Tamanna, Mahzabin and Tystahl, Greg and Zahan, Nusrat and Morrison, Patrick and Acar, Yasemin and Cukier, Michel and K\""{a}stner, Christian and Kapravelos, Alexandros and Wermke, Dominik and Enck, William",article,10.1145/3714464,,May,ACM Trans. Softw. Eng. Methodol.,1049-331X,5,34.0,June 2025,
RCoSE '18,"Gothenburg, Sweden","rapid continuous code reuse, rapid continuous integration, test-driven development, test-driven reuse, test-driven search",4.0,,Proceedings of the 4th International Workshop on Rapid Continuous Software Engineering,10.1145/3194760.3194761,https://doi.org/10.1145/3194760.3194761,"New York, NY, USA",Association for Computing Machinery,9781450357456.0,2018,"Integrating reuse into the rapid, continuous software engineering cycle through test-driven search","Kessel, Marcus and Atkinson, Colin",inproceedings,10.1145/3194760.3194761,8–11,,,,,,,
CSIIRW '09,"Oak Ridge, Tennessee, USA","SELinux, information flow security, information flow specification, media pipeline security, type enforcement",4.0,66.0,Proceedings of the 5th Annual Workshop on Cyber Security and Information Intelligence Research: Cyber Security and Information Intelligence Challenges and Strategies,10.1145/1558607.1558683,https://doi.org/10.1145/1558607.1558683,"New York, NY, USA",Association for Computing Machinery,9781605585185.0,2009,A pipeline development toolkit in support of secure information flow goals,"Tricca, Philip",inproceedings,10.1145/1558607.1558683,,,,,,,,
,,"non-functional requirements, open-source systems, social metrics",22.0,24.0,,10.1145/3643750,https://doi.org/10.1145/3643750,"New York, NY, USA",Association for Computing Machinery,,2024,Understanding Developers’ Discussions and Perceptions on Non-functional Requirements: The Case of the Spring Ecosystem,"Oliveira, Anderson and Correia, Jo\~{a}o and Assun\c{c}\~{a}o, Wesley K. G. and Pereira, Juliana Alves and de Mello, Rafael and Coutinho, Daniel and Barbosa, Caio and Lib\'{o}rio, Paulo and Garcia, Alessandro",article,10.1145/3643750,,July,Proc. ACM Softw. Eng.,,FSE,1.0,July 2024,
SAC '19,"Limassol, Cyprus","attack graph generation, containers, microservices",8.0,,Proceedings of the 34th ACM/SIGAPP Symposium on Applied Computing,10.1145/3297280.3297401,https://doi.org/10.1145/3297280.3297401,"New York, NY, USA",Association for Computing Machinery,9781450359337.0,2019,Attack graph generation for microservice architecture,"Ibrahim, Amjad and Bozhinoski, Stevica and Pretschner, Alexander",inproceedings,10.1145/3297280.3297401,1235–1242,,,,,,,
ICDCN '25,,"Energy-efficient software development, Green software development lifecycle (SDLC), Open-source library profiling, Sustainable software engineering",6.0,,Proceedings of the 26th International Conference on Distributed Computing and Networking,10.1145/3700838.3703670,https://doi.org/10.1145/3700838.3703670,"New York, NY, USA",Association for Computing Machinery,9798400710629.0,2025,Advancing Carbon-Efficient Software Development: A Sustainable Path Forward,"Gupta, Sagar and Gupta, Aman",inproceedings,10.1145/3700838.3703670,325–330,,,,,,,
